"date","freq"
"2016-07-08",2442
"2016-07-07",1552
"2016-07-09",1108
"2016-07-11",842
"2016-07-10",838
"2016-07-12",577
"2014-11-25",566
"2014-12-04",552
"2016-07-06",434
"2016-07-13",429
"2016-07-14",394
"2014-12-05",347
"2015-07-23",335
"2016-09-21",332
"2016-09-22",312
"2016-07-18",312
"2015-04-28",311
"2015-08-09",297
"2014-12-13",291
"2014-12-14",280
"2016-07-17",265
"2015-10-14",258
"2016-07-15",250
"2015-07-24",250
"2015-08-10",244
"2016-07-27",229
"2016-07-21",226
"2016-09-23",220
"2016-09-20",208
"2015-08-11",207
"2014-11-26",207
"2014-12-06",203
"2016-07-16",200
"2015-04-30",198
"2014-12-03",196
"2015-07-29",193
"2016-07-19",192
"2015-07-30",187
"2014-12-24",186
"2016-07-22",174
"2015-05-01",172
"2016-08-05",167
"2014-12-08",167
"2015-06-18",163
"2015-04-29",160
"2015-08-07",158
"2014-12-07",157
"2014-12-21",156
"2015-08-12",152
"2015-09-02",148
"2014-12-09",148
"2015-06-19",147
"2015-04-08",147
"2015-09-01",145
"2016-09-28",144
"2016-09-24",141
"2014-12-11",139
"2016-07-20",137
"2015-11-25",137
"2015-08-13",135
"2014-12-10",132
"2016-09-29",130
"2015-08-31",130
"2015-07-22",121
"2015-05-02",121
"2014-12-16",121
"2014-12-15",121
"2015-11-24",120
"2016-09-27",117
"2015-08-19",117
"2015-08-18",116
"2015-11-11",115
"2017-06-17",111
"2017-08-13",110
"2015-07-26",110
"2014-12-22",110
"2016-07-25",109
"2015-07-25",109
"2016-07-23",107
"2014-12-20",107
"2015-08-21",105
"2016-07-26",104
"2015-08-14",104
"2015-08-08",103
"2016-02-29",102
"2015-07-28",101
"2014-12-12",101
"2015-07-27",100
"2015-07-31",99
"2016-08-02",98
"2015-09-03",98
"2015-08-20",98
"2016-09-26",97
"2015-03-06",97
"2016-07-24",96
"2016-09-25",95
"2016-07-28",95
"2014-12-17",95
"2015-07-21",94
"2015-03-19",94
"2015-08-15",93
"2015-02-09",92
"2015-01-19",92
"2015-08-25",91
"2014-12-23",90
"2015-05-03",87
"2016-08-06",85
"2016-07-29",85
"2015-04-09",85
"2017-08-12",84
"2015-08-26",84
"2016-08-14",83
"2015-05-04",83
"2014-12-29",82
